ID,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Wembley Ways,Katie,Whitehouse,62,Head,Single,Female,Medical technical officer,None,Christian
1,NA,Wembley Ways,Colin,Singh,64,Partner,Single,Male,Colour technologist,None,Christian
2,2,Wembley Ways,Marie,Brennan-Welch,29,Head,Single,Female,Community arts worker,None,None
3,2,Wembley Ways,Tom,Jones,31,Partner,Single,Male,Recruitment consultant,None,None
4,2,Wembley Ways,Jenna,Brennan-Welch,12,,NA,Female,Student,None,NA
5,3,Wembley Ways,Kirsty,Powell,56,Head,Single,Female,Naval architect,None,None
6,3,Wembley Ways,Edward,Powell,25,,Single,Male,Retail manager,None,None
7,3,Wembley Ways,Jeffrey,Powell,21,Son,Divorced,Male,University Student,None,None
8,4,Wembley Ways,Scott,Sutton-Robinson,52,Head,Single,Male,Unemployed,None,Christian
9,NA,Wembley Ways,Leah,Sutton-Robinson,23,,Divorced,F,Travel agency manager,None,Christian
10,5,Wembley Ways,Dawn,Wilson,48,Head,Widowed,Female,Unemployed,None,Christian
11,5,Wembley Ways,Alex,Wilson,14,Son,NA,m,Student,None,NA
12,5,Wembley Ways,Sian,Wilson,10,,NA,,Student,None,NA
13,5,Wembley Ways,Garry,Wilson,7,Son,NA,Male,Student,None,NA
14,5,Wembley Ways,Ann,Wilson,5,Daughter,NA,Female,Student,None,NA
15,6,Wembley Ways,Lauren,Lawson,40,Head,Married,Female,Chemical engineer,None,None
16,6,Wembley Ways,Kevin,Lawson,50,Husband,Married,Male,Unemployed,None,None
17,6,Wembley Ways,Mitchell,Lawson,15,Son,NA,Male,Student,None,NA
18,6,Wembley Ways,Jane,Lawson,11,Daughter,NA,Female,Student,None,NA
19,7,Wembley Ways,Hilary,Ford,29,Head,Single,Female,NA,None,None
20,8,Wembley Ways,Molly,Sanderson,57,Head,Divorced,Female,Graphic designer,None,Christian
21,8,Wembley Ways,Margaret,Sanderson,21,Daughter,Single,Female,University Student,None,Christian
22,8,Wembley Ways,Joshua,Sanderson,18,Son,Divorced,Male,Student,None,None
23,8,Wembley Ways,Peter,Sanderson,16,Son,NA,Male,Student,None,NA
24,9,Wembley Ways,Georgina,Savage,44,Head,Married,Female,Lobbyist,None,None
25,9,Wembley Ways,Ryan,Savage,46,Husband,Married,Male,Drilling engineer,None,None
26,9,Wembley Ways,Louis,Savage,12,Son,NA,Male,Student,None,NA
27,9,Wembley Ways,Karl,Savage,2,Son,NA,Male,Child,None,NA
28,9,Wembley Ways,Abdul,Ali,36,Visitor,Single,Male,Curator,None,Catholic
29,10,Wembley Ways,Jemma,Jones,42,Head,Single,Female,Diplomatic Services operational officer,None,None
30,10,Wembley Ways,Nigel,Andrews,42,Partner,Single,Male,Aeronautical engineer,None,None
31,11,Wembley Ways,Geraldine,Holmes,48,Head,Married,Female,Sport and exercise psychologist,None,Christian
32,11,Wembley Ways,Phillip,Holmes,56,Husband,Married,Male,"Engineer, production",None,Christian
33,11,Wembley Ways,Terence,Holmes,30,Son,Single,Male,Call centre manager,None,Christian
34,11,Wembley Ways,Callum,Holmes,28,Son,Divorced,Male,Unemployed,None,Christian
35,11,Wembley Ways,Valerie,Holmes,25,Daughter,Single,Female,"Engineer, land",None,Christian
36,11,Wembley Ways,Steven,Holmes,17,Son,NA,Male,Student,None,NA
37,12,Wembley Ways,Holly,Chan,25,Head,Married,Female,Community education officer,None,Catholic
38,12,Wembley Ways,Stuart,Chan,27,Husband,Married,Male,"Civil engineer, consulting",None,None
